Data;Total
25/11/2021;812
26/11/2021;625
29/11/2021;869
30/11/2021;792
01/12/2021;878
02/12/2021;789
03/12/2021;786
06/12/2021;592
07/12/2021;567
08/12/2021;828
09/12/2021;806
10/12/2021;747
13/12/2021;767
14/12/2021;685
15/12/2021;753
16/12/2021;530
17/12/2021;1088
20/12/2021;650
21/12/2021;653
22/12/2021;481
23/12/2021;561
24/12/2021;260
27/12/2021;330
28/12/2021;412
29/12/2021;318
30/12/2021;383
31/12/2021;212
03/01/2022;276
04/01/2022;852
05/01/2022;323
06/01/2022;461
07/01/2022;340
10/01/2022;481
11/01/2022;345
12/01/2022;464
13/01/2022;446
14/01/2022;429
17/01/2022;512
18/01/2022;397
19/01/2022;400
20/01/2022;433
21/01/2022;497
24/01/2022;314
25/01/2022;653
26/01/2022;457
27/01/2022;602
28/01/2022;556
31/01/2022;534
01/02/2022;493
02/02/2022;403
03/02/2022;510
04/02/2022;634
07/02/2022;596
08/02/2022;620
09/02/2022;475
10/02/2022;507
11/02/2022;794
14/02/2022;619
15/02/2022;670
16/02/2022;598
17/02/2022;641
18/02/2022;778
21/02/2022;701
22/02/2022;639
23/02/2022;679
24/02/2022;514
25/02/2022;734
02/03/2022;483
03/03/2022;538
04/03/2022;579
07/03/2022;152
08/03/2022;616
09/03/2022;763
10/03/2022;491
11/03/2022;719
14/03/2022;410
15/03/2022;543
16/03/2022;616
17/03/2022;716
18/03/2022;683
21/03/2022;644
22/03/2022;576
23/03/2022;378
24/03/2022;500
25/03/2022;420
28/03/2022;614
29/03/2022;483
30/03/2022;466
31/03/2022;548
01/04/2022;547
03/04/2022;76
04/04/2022;521
05/04/2022;352
06/04/2022;549
07/04/2022;516
08/04/2022;512
11/04/2022;450
12/04/2022;400
13/04/2022;540
14/04/2022;478
18/04/2022;372
19/04/2022;601
20/04/2022;617
25/04/2022;497
26/04/2022;713
27/04/2022;504
28/04/2022;512
29/04/2022;539
02/05/2022;514
03/05/2022;397
04/05/2022;499
05/05/2022;484
06/05/2022;395
09/05/2022;732
10/05/2022;1563
11/05/2022;463
12/05/2022;669
13/05/2022;431
